,0
1001000100,3557
0000011100,3438
1001001000,3
1010111110,3
1111101010,3373
1100110000,3454
0010101000,1
0000000011,3440
1001111000,3
0100010010,5
1011110111,3
1101000010,5
0101001011,5
0101000110,5
1011111111,3
1101011110,3
0001011001,4
0100111110,6
0001011000,4
1011100000,1
1010010110,1
1100100101,3
0111011111,3
1010110010,2
0111000101,2
1101001101,4
1010110110,3
0010010101,3
1000011000,5
1001100000,1
0010000101,3
1010101101,2
0000111000,4
0000001110,3
0011001110,6
0010110111,2
0000010111,3
0111001100,8
1111111110,4
1010010000,2
0001100011,2
1101001000,7
1110110011,5
0000010101,3
1011011100,3
1111101111,3
1001011001,4
1011101111,2
1111110110,3
0111101100,3
0011010100,3
0110111011,3
1101111100,2
0111001011,3
0100000110,4
1101100010,3
1000011011,2
0001001001,3
0010100111,3
0010011110,4
0101101110,2
0001000110,6
1000010100,3
0001010111,5
0100100111,2
0010011111,2
1100010011,2
0101101101,4
0000001111,2
0110010000,4
1100010000,2
1011011010,2
0011011101,3
1111100001,4
0100110110,2
1100110111,1
1001010100,2
0101101011,3
1011110011,5
0111001111,3
1101101101,4
1111010000,4
1111000010,5
1011110000,4
1101110100,7
0111000011,4
1001010111,7
1101110110,1
0111110010,3
1110000100,3
0101010000,5
0101001000,4
1000111111,3
0011100000,1
1011110101,9
0111000000,3
1111100010,4
0101111000,4
0010001011,4
1000000101,3
1010011000,3
0011001101,4
0110000111,5
1111010001,6
0100010101,3
1101110011,2
1010010100,7
1101001111,3
1011011001,3
1110101001,5
0110001010,3
0100011001,4
1001101101,3
1011000101,1
0110011010,4
1110110110,2
0000000111,5
1000111011,6
0001101010,7
1101101110,2
0000001101,5
1000111001,3
1010100000,3
0111101011,4
0011101111,3
0010111111,2
0111100001,3
0011111111,4
0110011101,4
0011101010,2
0101111100,2
1110011101,7
1000010101,1
1100111011,3
1111011111,3
1110000000,5
0111001000,2
0111101001,3
1010100111,2
1010011110,6
1001011010,7
0001011010,7
1001010000,7
0011100111,5
0101101111,3
0001001010,2
0111110000,3
0001001011,8
1001001100,3
1100011001,4
0000110000,3
0100001111,5
1101110010,4
1001100001,5
0110101110,3
0001101001,2
1110100000,1
0101111011,5
1100010111,4
1001010010,4
1111111100,1
0100101100,4
1001111100,4
1110110010,8
1101111111,6
1000101100,5
0001100100,3
0010110101,3
0001001100,3
0101011111,6
0001100000,3
0000100100,4
1100000100,6
1101010110,5
1110110001,3
0010001010,4
0010101110,5
0111011000,3
0010011101,6
1010011100,4
0010111101,2
0000011011,4
0100000101,1
0110101100,5
1001111110,5
0101100011,2
1001001011,4
0001110100,3
1000001010,2
1110111011,6
1110011100,3
1110111100,3
0100001100,2
0110110101,2
1100000101,5
1001010101,4
1110011011,5
0010011100,2
1111000110,3
1011100111,3
0101111001,4
1111001010,4
0000111110,4
0011000000,3
1111001011,4
1011010101,5
0101010110,6
1100001100,5
0010001110,4
1011001011,2
1011101100,5
0011101000,6
1100000110,3
1011010110,3
1100010010,5
0101110001,2
0011001001,2
0100001010,4
0000101111,5
0111010101,2
0001001111,5
0110111101,2
1001101001,1
1110001101,4
1001100111,2
1110001010,5
1100110101,4
0111011101,5
0101011001,5
1000011100,3
1100000001,5
0001101100,3
1111011101,4
1011110110,2
0001110110,5
0000101011,6
0100011000,4
1110101011,3
1110100001,4
0110010111,3
0100110101,2
1110011110,6
0101100001,3
1101101000,5
1010111010,1
0011000011,3
1011111110,3
1111000000,3
0000010010,2
1010100011,4
0110110100,1
1010000110,1
1111011110,6
1001010110,2
0111010001,1
0001110011,3
0101010001,4
1011010010,3
1011111101,4
0010001000,1
1001011011,4
0001111011,4
1111111101,3
0100001011,3
1010101001,4
1001001001,4
1111010101,4
0010111100,4
0111011011,2
0111010110,1
1010001110,6
1100101011,3
0100101110,2
1101010000,6
0111110111,4
1010001011,3
0011110100,6
0011000101,4
0111001010,2
1101000100,4
1011111000,1
1011011111,5
1000000110,4
0000010110,5
0011100011,5
1101110101,2
1011100110,2
1111110011,4
1100110100,2
0011111110,4
0101011100,1
0110010100,4
0000110110,6
1000110110,4
1001011111,3
1110100011,4
1011000110,2
0001001110,4
1111111000,3
1110101010,3
0110110010,3
0011101110,2
0000100111,2
1101001011,3
1100001000,5
0010100100,2
0111011010,2
1011100010,3
0000100101,3
0011101101,5
1001001101,2
1011100011,1
0111000010,5
1001000101,3
0011010000,2
0111001001,3
1100010100,3
1101000000,5
0110100010,4
1110100111,7
0110101011,2
1100101111,2
0111111000,1
0001110000,2
0001101110,5
0011001100,7
0000110101,3
0101110111,3
1001101000,2
1001110100,3
0101100110,4
1011010100,2
0111010100,3
1000011010,2
1011111010,3
0100001110,2
0100010110,5
1111000100,6
0000111011,2
0011101100,2
1011101110,1
1010101100,6
0010101001,3
1110110111,4
1001000010,3
1110100010,1
0110110110,3
0010001100,4
0010110001,4
1111000011,5
0011110011,3
0110001111,7
1111110101,3
1111100100,3
0110011000,8
1111010110,1
0000100000,1
0001101101,2
1011010001,8
0110010011,2
0010010001,4
1100101110,2
1000100001,2
0111010000,3
0101100000,2
0100011010,4
1011110100,5
1111001101,5
0001111001,4
0010010111,1
1101011010,3
0011110000,3
1110101110,2
0101010011,2
0111100000,2
1101011100,7
1000001111,6
1000100011,4
1010111011,3
0010111000,3
1100110011,2
1001100010,2
1110010111,1
0011110111,2
0101001110,1
0100101010,5
0110001110,5
0101110011,3
0110110011,2
0110001001,3
