,0
0100011010,9
1110110111,11
1001000100,1503
0001011111,9
1100110000,1486
1100000000,14
0001100111,14
0000010001,18
0000000011,1477
0000000010,17
0110100001,10
1010111001,19
1100111110,15
0011100110,19
1001000011,14
0110100110,13
0111101011,12
0111000100,13
0000011100,1485
1111101010,15
1000001011,16
0111110010,18
1111100010,11
0101001011,17
1100111100,11
0000010010,9
0110111110,14
0110110110,14
1111010010,13
0011001100,13
0110101010,10
1001100001,10
0000011111,18
1110000100,18
0100011000,14
1000101100,15
1010000010,12
1010000101,14
1010100110,15
1111101000,16
0001011010,23
0000100000,15
0001010110,21
0111000011,12
1000111101,22
1000101000,16
1010101011,12
1110100100,21
1011111101,21
1100110110,12
0010010101,14
1110010001,13
1011011101,14
1100011101,9
0000110001,13
0110011011,15
1001101101,13
0111000010,19
0011001111,21
0001101001,9
0110001000,15
0001001101,13
0000010101,17
0110100000,12
1000100110,17
1011010111,13
0010001110,21
1100101001,12
1001111111,17
0000101100,12
1011000001,13
1010110101,5
1010110010,25
0100001111,14
1011100110,18
1000100101,12
0101111110,8
0000101000,15
0100101100,16
1011111110,12
1110000110,18
1101010011,10
1110011001,18
0110010010,12
0010101111,16
0111001010,16
0110010111,15
0011100000,12
0001001001,16
1010011010,13
1000111000,25
0001010010,13
0010011001,13
1101110001,18
1100010101,9
0110001100,16
1110101011,16
1110110001,10
0110000001,9
0001110111,14
0010000100,12
0111111101,15
0110110000,17
0001110010,9
0000110101,13
1010010010,13
0110111101,16
0101101111,10
0011010101,16
0110100100,8
1010010000,11
0101111001,8
0001100001,13
0101001000,21
0001011011,19
0001000100,20
1111011100,18
1001111011,16
1000011010,26
1010001010,19
1011011111,17
0110110111,13
1001101100,17
1101111010,15
0101111011,9
0000111110,11
1010111010,16
0100000110,18
0110011100,13
0100010001,17
1000110001,12
0011110010,10
1000111001,13
0100101010,21
0111111110,11
1011001001,14
1110110101,14
1111000010,13
0110001110,11
0111100100,18
0011101000,14
1111000111,15
1010011110,15
0110100111,17
1100111111,14
1111110100,9
0101011100,23
0000110010,12
0000101010,13
1101101001,12
0111101000,14
0010011110,14
1010001111,7
1010010100,13
0000000001,11
0001101110,13
0011101001,18
1101111011,17
0100001001,19
1100000101,16
0001100010,16
1100111001,20
0011000111,15
1011001110,14
0110101100,12
1111011010,10
1111000000,14
1011110100,16
0001000110,22
1001110100,18
1110111100,12
1101110110,20
0001111100,20
1011110011,9
0010100101,11
1001000000,15
0000111100,20
0101011111,14
0011010001,12
0010010010,7
0101010111,19
1010110100,13
1011110001,12
1001111001,17
0100110100,15
0100100110,16
0101011010,17
0110100011,17
1001100100,14
0101010011,20
0010110111,15
0010001100,16
1010100011,12
1110101101,27
1101001011,20
0001100110,16
1000100000,16
1110111001,11
0101000010,14
1000010101,9
0000010110,16
0101000110,13
0111110011,18
0010001011,18
1010111110,14
0011110110,17
0101011110,20
1110000001,19
1110100001,15
0110000111,18
1010100000,12
0100101111,12
1000011101,19
0101101010,17
0010011111,13
1000110101,14
0111100101,17
0011100101,13
1101100001,9
0001101100,15
0011110011,12
1110001000,12
0100100011,22
0000111011,12
1101100000,6
1011010001,21
1000101010,17
0010101100,14
0000010111,15
1001101000,19
1101011100,12
1101100011,17
1011010010,14
0100110010,18
1110100010,11
1011100101,15
1000010001,19
0001101010,16
1001000110,15
1101101101,20
1101011111,13
1110011011,14
0000110100,12
0011000110,13
0100011011,14
1111110110,16
1010101100,13
1101011000,23
0010000011,16
0101000101,19
1100110111,12
1110100011,11
1100000100,16
1100111000,12
0000011110,13
0111110100,16
0010111001,20
1001110001,12
1110011110,18
1010111000,16
1000110000,12
0010100110,11
1011011010,22
1010110000,7
0010111101,22
0011110000,12
0111000000,10
0111100011,16
0100000001,16
1011101010,11
1011101110,8
1001111000,15
0011101101,12
0000010000,8
0011110111,22
1101001100,16
0000101001,17
0001010001,12
0011011001,20
0010111010,16
0101010100,17
1011100111,14
0101101011,19
1110011010,17
1100001010,12
1000010110,13
0001110110,10
0001100000,15
0111100111,20
0100000000,17
0010001111,12
1110101001,13
0010100000,12
0000001110,9
0110110011,12
0011011101,11
0010000111,20
1011011011,13
