,0
1001000100,3592
0000000011,3517
1101100000,10
1001110111,5
0000011100,3490
1110100111,10
0111110101,11
1110101010,13
1010010110,12
1011110111,6
1000111111,8
0001001111,8
0000011000,8
1111000010,9
1100001100,14
1000000100,7
1101001110,16
0011111010,8
1010000000,15
0111110011,9
0101101001,8
1010001000,12
1011111110,17
1011010110,14
1110011000,11
0001110101,14
0101010010,12
1001001011,10
0110010010,10
0010000101,11
1000100011,12
1100001101,8
0010011111,9
0110101000,11
1010110000,9
0000000000,6
0000011101,10
0011001011,11
0011000000,7
1100011111,14
0101101000,11
1100100100,7
0100111111,9
1001111001,6
0101100011,11
1110111010,12
1111111110,10
0001011011,12
1101101001,11
0100101100,6
0001010101,9
0110110100,14
0010111110,14
0001100101,14
0010001000,8
1011101001,15
1100010111,10
0100011000,15
0110100010,4
0011101110,11
0000001000,9
1100011100,10
0101100010,7
0010101101,12
1100110000,10
0001000011,6
1000101001,12
0111101000,10
0001100001,1
0001001011,14
0101011001,14
1110011101,14
1000011110,15
0010010011,9
1110000001,7
1101110011,10
0000101110,10
1111100111,10
1111111001,12
0100101111,13
1001101011,10
0001110010,7
0111110110,14
1011001110,7
0010001111,4
0000100100,7
1001011000,8
1110011010,14
0111010010,11
0110011010,8
0101001001,12
0111000001,7
1011011011,10
1000111100,12
0011001010,6
1110001100,6
1011100001,10
0000111000,5
0001010000,17
1000101000,14
1001111010,13
1001111100,13
0000101000,16
0001011000,9
1001010010,8
1110100010,8
1001001100,12
1011001101,8
0100101001,9
0000011011,9
0111110001,10
0010101000,8
1011111010,8
0010100110,12
0011110100,9
0110101001,15
0000110101,5
1110100101,9
0000011001,10
1010110100,13
1001000000,8
0111100000,10
0101101101,14
0010000010,12
0010011000,7
0000101111,12
0110011000,11
0100011111,10
0100000010,8
1111010101,14
0010111101,7
1100111100,10
1000101100,15
0100010110,11
1100110011,11
1010100101,8
0010110100,10
1100010101,15
1011110000,7
0010100001,7
1100111011,11
0110100001,3
0000101010,12
1000011010,16
1001011110,14
1010110001,15
1111000001,11
0111000000,8
1110001010,9
0010111010,11
0001101100,6
0000011110,12
1001001000,8
0101001101,8
1101101011,12
1111101010,11
1011100110,11
1111100011,15
1001100011,12
0010010101,11
1010100111,7
1001010001,11
1001101100,11
0011100000,8
1111100110,7
1100000101,13
0100110000,7
1110101100,7
0010010010,10
1101101000,11
0111001100,8
0101000010,15
1111000000,12
1101010010,10
0000001011,11
1101100010,10
0100100010,17
1101000011,11
0100110011,8
0000100111,8
