,0
1101001001,12
0111101000,18
0100111010,21
1010110011,15
1000101101,17
1011111100,16
0001110100,19
0111101110,19
0110110001,22
1110101011,29
1101011000,23
0100001000,21
1111001101,14
0100111111,28
0010110001,16
1000100100,27
1101100010,18
0101011001,14
0011011110,15
0010110110,27
0011001111,20
1111010001,26
0011000000,25
0100101110,26
0000011100,484
0001100100,12
0001000001,18
1110101100,16
1111000011,24
1011111010,16
0101110000,23
1011011010,22
0100011100,21
0101000001,17
1000101110,19
1011000111,23
0011110001,20
1010011010,22
1110001011,23
0001110110,15
1101010101,24
1000110110,16
1101001010,20
1000101000,28
0000000011,494
1011110000,20
1011101111,30
0101101100,14
1001101100,18
1110010111,17
1000010000,17
0011011000,20
1000000010,13
1101111111,17
0011011011,16
1100100011,17
1100001010,16
1101001110,19
0011110011,22
0110110010,19
0111100001,20
0101111010,23
0110001001,14
0111111100,21
1000001101,15
0111010110,19
1001111101,14
1000010001,20
0111010000,19
1000001000,23
0110010100,21
1110100000,20
0010001111,31
1000001110,17
1011010100,28
1010010000,23
0101111111,17
1111111010,22
1111010011,14
0101000110,18
1100010111,19
0111101011,17
1011110110,17
1100100010,19
0010001000,16
0100100011,12
0111100000,21
0010100011,21
0100011111,17
0110100100,15
0111011010,18
1000111100,27
0000001010,25
0111110111,20
1110001010,21
0111110011,19
0101111001,24
1000010100,21
1010011100,20
1001001010,20
1110110010,23
1001100010,17
1101110011,15
1000111001,21
0111100111,20
0011101100,21
1100111000,18
0110000111,19
1010110000,15
1110111001,18
0100101011,25
0010010011,14
1101101001,14
1101000010,28
1011101100,22
0010011000,13
0110101010,13
0001000110,19
0010111010,19
0100110101,22
1101101100,18
1111000101,23
0110111011,25
1011001100,14
1010101001,14
1110100111,16
0110000101,17
1010101100,14
0011111110,18
0001010101,18
0100110000,18
0101100010,17
0110100000,12
1101110111,30
1110000010,17
1110110000,24
1100011010,17
0110001111,19
1110111011,27
1001011010,18
1011101001,22
0010001110,19
1001110000,16
0111101100,22
1111011101,22
1101110101,23
0010000111,24
1011011111,18
0101010011,20
0111011101,21
1111101001,19
1110111111,19
0011100100,23
1011100011,22
0010101011,21
0100010101,18
1000011010,26
0110011100,15
0010101110,22
1111111011,19
0000101100,28
0111100010,20
1000001001,18
1101010111,17
0110110011,17
0010000110,22
0011010110,18
0011010000,21
1010100101,22
1111100111,13
1101000111,19
0110110111,21
0011100011,19
0000100110,18
1100000001,21
0101111101,16
0100100000,25
1100101011,15
0111010010,26
0101111000,22
0111001100,13
0100110110,20
0010011111,21
0101001001,20
1011110011,19
0110000011,19
0110100011,18
0011010011,21
1111100011,22
1010010100,12
1011101000,21
0111011011,18
1001011111,10
0000101010,18
1100100100,24
0000101101,17
1000011111,20
0101100000,23
1000011011,18
1010111101,19
1010000010,19
